,State,County,Democratic,Republican,FIPS,Total Population,Citizen Voting-Age Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent Less than High School Degree,Percent Less than Bachelor's Degree,Percent Rural,Party,Percent Age between 30 and 64 inclusive,Percent Male,Percent more than High School Degree,Percent more than Bachelor's Degree,Citizen Voting-Age Population voted
78,IN,boone,10981.0,15540.0,18011,61884,,92.08519165,1.304052744,2.590330295,3.5954366230000003,50.56234245,39.53364359,12.65432099,72774,3.288526899,6.836872467999999,55.48545477,34.40501412,Rep,47.81203542,49.43765755,93.163127532,44.51454523,26521.0
79,IN,carroll,2071.0,4518.0,18015,20007,15090.0,94.24701355,0.449842555,3.938621482,2.754036087,50.22242215,35.79747089,17.75878443,54140,6.916054773,12.04392746,82.57351347,81.40411808,Rep,46.44374468,49.77757785,87.95607254,17.426486530000005,6589.0
80,IN,cass,4061.0,6617.0,18017,38324,26815.0,81.11366246,1.458616011,14.06690325,8.76474272,49.83039349,38.00751487,16.177851999999998,43918,7.576882291,17.18140002,86.05001739,44.66714572,Rep,45.814633130000004,50.16960651,82.81859998,13.949982610000006,10678.0
81,IN,clark,18551.0,22766.0,18019,113993,,84.27096401,6.9091961789999985,5.116980867,3.197564763,51.31981788,38.05760003,14.20964445,51844,6.210695822000001,12.10564556,79.8014047,20.514914,Rep,47.73275552,48.68018212,87.89435444,20.198595299999994,41317.0
82,IN,clay,2601.0,6207.0,18021,26568,20305.0,96.57106293,0.240891298,1.294790726,0.316169828,51.13294188,37.59786209,16.444595,49735,6.4476035110000005,10.26413854,83.07211749,60.88880625,Rep,45.95754291,48.86705812,89.73586146,16.927882510000003,8808.0
83,IN,crawford,1504.0,2252.0,18025,10582,8190.0,96.48459648,0.17955018,1.455301455,0.245700246,49.36684937,35.21073521,17.26516727,41173,6.277056277000001,17.30743289,90.20639417,100.0,Rep,47.524097520000005,50.63315063,82.69256711,9.793605830000004,3756.0
84,IN,dearborn,4481.0,13287.0,18029,49552,37840.0,96.37956087,0.8415402,1.178559897,1.190668389,50.01210849,36.5797546,15.10130772,60834,7.104113304,9.365994236,80.03587602,53.05812536,Rep,48.31893768,49.98789151,90.634005764,19.964123979999997,17768.0
85,IN,decatur,2287.0,6246.0,18031,26340,19650.0,95.29612756,0.565679575,1.845102506,1.4958238419999998,50.52012149,38.72817008,15.71374336,51185,5.260837619,10.93211237,81.82126505,53.7956488,Rep,45.55808656,49.47987851,89.06788763,18.178734950000006,8533.0
86,IN,dekalb,4204.0,9167.0,18033,42489,31535.0,95.25053543,0.221233731,2.692461578,1.310927534,50.24123891,39.32311892,14.74263927,50398,6.221155621,10.27092028,82.63068544,42.2992208,Rep,45.93424181,49.75876109,89.72907972,17.369314560000007,13371.0
87,IN,delaware,18159.0,17447.0,18035,116463,,87.37281368,5.992461125,2.130290307,2.020384156,51.91262461,44.85201309,16.04887389,39537,9.354614851000001,10.47719595,76.71452703,22.81190778,Demo,39.099113020000004,48.08737539,89.52280405,23.28547297,35606.0
